Rank,Title,Artist,Lyrics,Genre
49,"Love You, Miss You, Mean It",Luke Bryan,"['USA', 'In English', 'Country']","8 ContributorsTranslationsEspañolLove You, Miss You, Mean It Lyrics[Verse 1]
We were small-town meant to be
My momma loved her, her daddy loved me
We burned up the road between her house and mine
We'd kiss in her driveway
And by the time I hit the highway
She called to tell me goodnight one more time

[Chorus]
And she'd say, ""Love you, miss you, mean it
Boy, I'll see you when I'm dreamin'
I can't wait to feel you hold me again
Till then, I'll be countin' down the minutes
I'll be climbin' up these walls
Your kiss, I want it, need it
Love you, miss you, mean it, baby""

[Verse 2]
When graduation came
UGA was callin' her name
We thought two hundred miles wasn't nothin' we couldn't get through
But after that first fall
The time got longer between the calls
And I couldn't help but wonder what happened to

[Chorus]
My little love you, miss you, mean it
Girl, I'll see you when I'm dreamin'
I can't wait to feel you hold me again
Till then I'll be countin' down the minutes
I'll be climbin' up these walls
Your kiss, I want it, need it
Love you, miss you, mean it, baby, yeah
(Woo, uh)
See Luke Bryan LiveGet tickets as low as $101You might also like[Bridge]
Years went by, pages got turned
But I never did forget about her
Late one night, out of the blue
My phone lit up and my heart did too

[Chorus]
She said, ""I don't know about you
But I love you, miss you, meant it
I still see you when I'm dreamin'
I just wanna feel you hold me again
And I've been countin' down the minutes
I'll keep climbin' up these walls
Your kiss, I want it, need it
Love you, miss you, mean it, baby""

[Outro]
(Love you, miss you, mean it)
Love you, miss you, mean it, baby
(Love you, miss you, mean it)
Love you, miss you, mean it, babyEmbed"

50,360,Charli xcx,"['England', 'Hyperpop', 'Pop Rap', 'EDM', 'Bubblegum Bass', 'Dance-Pop', 'Electro-Pop', 'Electronic', 'UK Pop', 'UK', 'In English', 'Pop']","116 ContributorsTranslationsPolskiEspañolDanskLatviešuLietuviųItalianoБеларускаяPortuguêsРусскийTürkçe한국어FrançaisΕλληνικάDeutschHebrew360 Lyrics[Verse 1]
I went my own way and I made it
I'm your favorite reference, baby
Call me Gabbriette, you're so inspired
Ah, ah
I'm tectonic, moves, I make 'em
Shock you like defibrillators
No style? I can't relate
I'll always be the one, ah

[Pre-Chorus]
Drop down, yeah
Put the camera flash on
So stylish
Baby tee is all gone
Drop down, yeah
Lookin' like an icon
Work angles, yeah

[Chorus]
Yeah, 360
When you're in the mirror, do you like what you see?
When you're in the mirror, you're just looking at me
I'm everywhere, I'm so Julia
Ah-ah, ah
When you're in the party b-b-bumpin' that beat
666 with a princess streak
I'm everywhere, I'm so Julia
Ah-ah, ah
See Charli xcx LiveGet tickets as low as $30You might also like[Post-Chorus]
Bumpin' that
Bumpin' that
Bumpin' that

[Verse 2]
That city sewer slut's the vibe
Internationally recognized
I set the tone, it's my design
And it's stuck in your mind
Legacy is undebated
You gon' jump if A. G. made it
If you love it, if you hate it
I don't fucking care what you think

[Pre-Chorus]
Drop down, yeah
Put the camera flash on
So stylish
Baby tee is all gone
Drop down, yeah
Lookin' like an icon
Work angles, yeah

[Chorus]
Yeah, 360
When you're in the mirror, do you like what you see?
When you're in the mirror, you're just looking at me
I'm everywhere, I'm so Julia
Ah-ah, ah
When you're in the party b-b-bumpin' that beat
666 with a princess streak
I'm everywhere, I'm so Julia
Ah-ah, ah
[Outro]
Bumpin' that
Bumpin' that
Bumpin' that
Ah-ah, ah
Bumpin' that
Bumpin' that
Bumpin' that
Ah-ah, ah8Embed"
51,Dos Dias,Tito Double P & Peso Pluma,"['En Español', 'México', 'Regional Mexicano', 'Corrido', 'Latin Pop', 'Latin Urban', 'Latin Music', 'Pop']","4 ContributorsTranslationsEnglishDOS DÍAS Lyrics[Letra de ""DOS DÍAS""]

[Intro: Tito Double P]
Un, dos, tres
Un, dos, tres

[Verso 1: Peso Pluma & Tito Double P]
Unos tragos pa' la panza
Ese periquito, la neta, nomás no se baja
Ando atravesado porque no me dices qué pasa
Dos días enojada, dos días que no me habla'
Otra de tus payasadas
Yo aquí con los panas y tú siempre de exagerada
Cuando dices ""te quiero"", mija, nomás no te creo nada
Todo lo que planeaba se nos fue a la chingada

[Coro: Peso Pluma & Tito Double P]
Mira en qué me convertí
Me encantan las pacas, me mama el dinero
Baby, yo te lo advertí
Que estando solito yo era un cagadero
No fui yo, sino por ti
Quе me hice adicto a andar en еsta loquera
Guacha lo que conseguí
Un chingo de culos y ni uno me llena
You might also like[Interludio: Tito Double P &  Peso Pluma]
Ay, mamá
Tito Double P, ah
Así suena la puta Doble P, compa Tito
Ay-ay-ay
Chau

[Verso 2: Peso Pluma & Tito Double P]
El polvo ya ni me pasa
Me contestas a medias, mi niña, ya dime qué tranza
Me acordé de las noches que chingamos allá en tu sala
Pues pasé por tu casa y saludé a tu mamá

[Coro: Peso Pluma & Tito Double P]
Mira en qué me convertí
Me encantan las pacas, me mama el dinero
Baby, yo te lo advertí
Que estando solito yo era un cagadero
No fui yo, sino por ti
Que me hice adicto a andar en esta loquera
Guacha lo que conseguí
Un chingo de culos y ni uno me llenaEmbed"
52,Or What?,NLE Choppa & 41,"['In English', 'USA', 'Hip-Hop', 'Southern Rap', 'New York Drill', 'New York Rap', 'Jersey Club', 'Gangsta Rap', 'Trap', 'Memphis Rap', 'Rap']","24 ContributorsOr What Lyrics[Intro: Kyle Richh & NLE Choppa]
(EMRLD)
Fuck
Bitch, is we fuckin' or what? (Damn)
Ayy, ayy, ayy, ayy
Ayy, ayy, ayy, ayy
Let me nut on your butt (Damn)
Ayy, ayy, ayy, ayy
Ayy, ayy, ayy, ayy
Fuck

[Verse 1: Kyle Richh]
Is we fuckin' tonight?
Toes right and her pussy is tight
Like, she ride my dick like a bike
Like, I beat the pussy like fight night
Scary movie, she wanna record it, we watch it again like the hot ice
Baby, you know you my type, type

[Verse 2: Jenn Carter, Kyle Richh & NLE Choppa]
Feel like Freddy, together for five nights
She in love through the dash like a hyphen
Can't spend no time with these bitches, I'm timeless
Said she sick of mе, she caught the itis
I feel like Trav', in this room, I'm thе highest
We could lay up and look at the starlights
If she not fuckin', she gotta get depart, like (It's Carter, dickhead)
Girl, we been huggin' and cuddlin' all night
Is we fuckin' or what? (Grrah, bang)
You might also like[Verse 3: TaTa, TaTa & NLE Choppa]
Pretty, but she hard to solve like a riddle
Yeah, once I touch it, it jiggle
If we get drunk enough, we could kiss
Is we fuckin'? I'm not tryna see what them hips do
Yeah, brown skin joint with a dimple
Light skin, she like, ""I buy it, it's simple""
12 a.m., after dark, I'm a slut
Don't got time for no games, is we fuckin' or what?

[Chorus: Kyle Rich & NLE Choppa]
Ayy, ayy, ayy, ayy
Ayy, ayy, ayy, ayy
Let me nut on your butt
Ayy, ayy, ayy, ayy
Ayy, ayy, ayy, ayy (Phew)

[Verse 4: NLE Choppa]
Is we fuckin' or not?
I got a whole 'nother ho in the spot (Phew)
I'm tryna tie that bitch up like a knot (Knot)
She thick like O's in a pot
She wanna fuck at the Ritz
She know that I'm rich
But really ain't throwin' no fits
But she throw it back on that dick
Throw up on it like you sick
Don't tell nobody
Think I'm in love with a ratchet
Two seats when we ride in traffic
Twin G-locks, we matchin'
She don't know her dad, but she call me, ""Daddy""
She want a thug, she need some love, she wanna get off them drugs
When you take this pink pill, bae, is we fuckin' or what? (Ooh)
[Bridge: NLE Choppa & Kyle Richh]
If I was a bad bitch (Ooh)
If I was a ratchet (Let me nut on your butt, ooh)
If I was a bad bitch
I'd wanna fuck me too
Yes, I love pills and Percocets, yes, yes (Let's go)
I— I love pills and Percocets, yes, let's fuck (Let's go, let's go, yeah)

[Chorus: Kyle Richh & NLE Choppa]
Ayy, ayy, ayy, ayy
Ayy, ayy, ayy, ayy
Let me nut on your butt (Let's fuck)
Ayy, ayy, ayy, ayy
Ayy, ayy, ayy, ayy (Let's fuck)1Embed"
53,Help Me,Real Boston Richey,"['Southern Rap', 'East Coast Rap', 'In English', 'USA', 'Hip-Hop', 'Florida Rap', 'Gangsta Rap', 'Trap', 'Rap']","8 ContributorsHelp Me Lyrics[Intro]
At this point, it's like I'm beggin'
Shit, if I gotta fight for love, then, shit
It's like I don't even, I don't even want it
(Known to let that MAC fly just like my nigga Doe, bah)
Help me
Baby, can you help me?
Baby, can you help me?
Baby, can you help me?

[Verse 1]
I'm tryna get my life together, leave these hoes alone
Pray to God I can leave the streets, this thuggin' shit gettin' more than old
Baby, please don't leave, but every day, her hеart get more than cold
I'm tired of pipin' thеse bitches up, on top of shit like provolone
I'm tryna run my digits up, at the same time, watch what them crackers on
Bitch, I call, you ain't pickin' up, what the fuck these hoes be on?
I just went bought fourteen acres, used to stay up in the mobile homes
Need a bad bitch with low body count to put my focus on
Nigga, he tried to end my career, truth be told, I don't fuck with holmes
So many bad bitches up in here, which one of them I'm takin' home?
Bitch, I'm ballin' on all these niggas, same court that the Lakers on
I'm more wealthy than all these niggas, baby girl, my paper long

[Chorus]
Do you love me? Do you trust me?
Say you got my back, but it's that paper got you wanna fuck me
Can I keep it real for a second, baby? Would you judge me?
I can't lie, I ain't been the same ever since them niggas stuck me
That shit corrupt me
I'ma get that get-back even if I get life, trust me
'Til the end, nigga, I'm kicked back in the cut poppin' up on bubbly
Look your nigga in the eyes and tell him I say he can't fuck with me
If I take her to my house, stick it in, that lil' bitch stuck with me
See Real Boston Richey LiveGet tickets as low as $68You might also like[Verse 2]
Lil' bitch playin' mind games, tryna trick my mindframe
You block me, bitch, I won't call you back, I promise it's just a mind thing
In that Hellcat, hit the gas, you hear that whine, ain't it?
Upped a hundred pack, I'm talkin' way before I got signed, baby
Why I ain't got no hit song yet? 'Cause I guess it ain't my time yet
Promise to stay down with this shit until my eyes go blind, yeah
Told you, bitch, I'm done with all that cheatin', stop that cryin', yeah
Same shit I said the last time, but I ain't done yet
Fuckin' another bitch, I told you I'm out here gettin' mon', yeah
Told you I'm on the way, but I'm still fuckin', bitch, I ain't cum yet
Bought you another whip, but you just speak on what I ain't done yet
Yeah, I cheated on you, but you were the realest bitch, I love that

[Chorus]
Do you love me? Do you trust me?
Say you got my back, but it's that paper got you wanna fuck me
Can I keep it real for a second, baby? Would you judge me?
I can't lie, I ain't been the same ever since them niggas stuck me
That shit corrupt me
I'ma get that get-back even if I get life, trust me
'Til the end, nigga, I'm kicked back in the cut poppin' up on bubbly
Look your nigga in the eyes and tell him I say he can't fuck with me
If I take her to my house, stick it in, that lil' bitch stuck with meEmbed"
54,Diet Pepsi,Addison Rae,"['Pop-R&B', 'Art Pop', 'Dark Pop', 'Adult Alternative', 'Alternative Pop', 'In English', 'USA', 'Pop']","56 ContributorsTranslationsEspañolPortuguêsDiet Pepsi Lyrics[Verse 1]
My boy's a winner, he loves the game
My lips reflect off his cross gold chain
I like the way he's telling me
My ass looks good in these ripped blue jeans
My cheeks are red like cherries in the spring
Body's a work of art you'd die to see

[Pre-Chorus]
Untouched, XO
Young lust, let's— (Ah)

[Chorus]
When we drive in your car, I'm your baby (So sweet)
Losing all my innocence in the backseat
Say you love, say you love, say you love me (Love me)
Losing all my innocence in the backsеat
When we drive in your car, I'm your baby (So sweet)
Losing all my innocеnce in the backseat
Say you love, say you love, say you love me (Love me)
Losing all my innocence in the backseat

[Verse 2]
Break all the rules 'til we get caught
Fog up the windows in the parking lot
Summer love (Ah, ah), sexy
Sitting on his lap, sippin' Diet Pepsi
I write my name with lipstick on your chest
I leave a mark so you know I'm the best
You might also like[Pre-Chorus]
Untouched (Untouched), XO (XO)
Young lust, let's go (Ah)

[Chorus]
When we drive in your car, I'm your baby (So sweet)
Losing all my innocence in the backseat
Say you love, say you love, say you love me (Love me)
Losing all my innocence in the backseat
When we drive in your car, I'm your baby (So sweet)
Losing all my innocence in the backseat
Say you love, say you love, say you love me (Love me)
Losing all my innocence in the backseat

[Bridge]
When we—
I'm your baby
I'm your baby
When we—
(XO)

[Chorus]
When we drive in your car, I'm your baby (So sweet)
Losing all my innocence in the backseat
Say you love, say you love, say you love me (Love me)
Losing all my innocence in the backseat (Ah)
When we drive in your car, I'm your baby (So sweet)
Losing all my innocence in the backseat
Say you love, say you love, say you love me (Love me)
Losing all my innocence in the backseat
[Post-Chorus]
Untouched
Young lust
XO
Let's go3Embed"
55,Big Dawgs,Hanumankind X Kalmi,[],
56,Beautiful As You,Thomas Rhett,"['USA', 'In English', 'Country']","9 ContributorsBeautiful As You Lyrics[Verse 1]
Baby girl, you out your mind, you're way too good for me
Thinkin' 'bout the day we met, you coulda just ignored me
Here I am, layin' next to you, lookin' extra cute in the mornin'
Lookin' back, all through the past, everything before you was borin'

[Pre-Chorus]
You're the type people wishin' they'd sit next to on a flight
Top of list, who I wanna wash up on a island with
You're the dream, even if we countin' girls in magazines
It's still a mystery

[Chorus]
What's someone as beautiful as you
Doin' ridin' 'round with someone like me?
I swear, girl, you could have anyonе you choose
I should stop askin' questions 'fore you gеt up and leave
What's someone as beautiful as you
Doin' wakin' up with someone like me?
Ain't gonna lie, you could have anyone you choose
I should stop askin' questions 'fore you get up and leave

[Verse 2]
How someone as beautiful as you could just fall out of the blue?
When you're walkin' 'round in my sweater, girl, there's no better view
Spend the rest of forever just treasurin' you
Ooh, I'll follow you wherever and you know that's the truth, yeah
See Thomas Rhett LiveGet tickets as low as $33You might also like[Pre-Chorus]
You're the type people wishin' they'd sit next to on a flight
Top of list, who I wanna spend like every second with
You're the dream, even if we countin' girls up on the screen
Still a mystery

[Chorus]
What's someone as beautiful as you
Doin' ridin' 'round with someone like me?
I swear, girl, you could have anyone you choose
I should stop askin' questions 'fore you get up and leave
What's someone as beautiful as you
Doin' wakin' up with someone like me?
Ain't gonna lie, you could have anyone you choose
I should stop askin' questions 'fore you get up and leave

[Bridge]
I just had to let you know, know, yeah, yeah (Know, know, yeah, yeah)
I could never let you go, go, yeah, yeah (Go, go, yeah, yeah)
Oh, I just had to let you know, know, yeah, yeah (Know, know, yeah, yeah)
I could never let you go, go, yeah, yeah (Go, go, yeah, yeah)

[Outro]
What's someone as beautiful as you
Doin' wakin' up with someone like me?
I swear, girl, you could have anyone you choose
I should stop askin' questions 'fore you get up and leaveEmbed"
57,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,"['Hip-Hop', 'Gangsta Rap', 'Trap', 'Southern Rap', 'Memphis Rap', 'Country Rap', 'Country', 'In English', 'USA', 'Rap']","24 ContributorsWHISKEY WHISKEY Lyrics[Intro: Moneybagg Yo]
Another shot, she'll love me again
(Run that back, Turbo)
Haha, make it a double

[Chorus: Morgan Wallen & Moneybagg Yo]
Whiskey, whiskey, won’t you go away?
Come again some other day
'Cause her memory came out to play
And I'm tired of it, tired of it
I don’t wanna wonder where she been (Where she at?)
She was here, now she gone again (Need her back)
Now it's me and all my whiskey friends
And I'm tired of it (Hey), tired of it (Yeah, speak)

[Verse 1: Moneybagg Yo]
Dark brown skin, caught eye contact while walkin' in (On the walk up)
Perfect timing, get beside me, now we lockin' in (Linked in)
She like, ""Tell me how you want it, on the rocks again (What else?)
Lil' salt around the rim (Okay), filled to the top again?"" (Let's go)
Fell back, now I'm back in it
Del Dia shots got me sinning
Big racks, but these jeans skinny
Plain Richard Mille square business (Boss)
See me in the club two-steppin’
Diamonds ’round my neck square-dancing
You done made a gangster romantic
Fiendin' for your love, I’m an addict (Ayy)
So addicted, ain't nothin' we can do about it (Nah)
Country motherfucker, I say, ""What's up?"" she say, ""Howdy"" (Howdy)
Call you my lil’ cowgirl how you ride it like a stallion (Uh, uh)
Don't know why I love it
Can't get tired of it (I'm on you bad)
You might also like[Chorus: Morgan Wallen & Moneybagg Yo]
Whiskey, whiskey, won't you go away?
Come again some other day
'Cause her memory came out to play
And I'm tired of it, tired of it
I don't wanna wonder where she been (Where she at?)
She was here, now she gone again (Need her back)
Now it's me and all my whiskey friends
And I'm tired of it, tired of it

[Verse 2: Morgan Wallen]
Put you up and hide you on the shelf, I swear I'm through with you
You so hard to leave alone, it's always something new with you
Ain't no way to get her gone, gone, gone
So I guess I'm gonna tie one on
She's so cold, I had to go and pour you over ice
Way you got me locked down, you'd think whiskey was my wife
You so good, I had to take you home and hit it twice
Two of you gon' keep me up all night

[Chorus: Morgan Wallen & Moneybagg Yo]
Whiskey, whiskey, won't you go away?
Come again some other day
'Cause her memory came out to play
And I'm tired of it, tired of it
I don't wanna wonder where she been (Where she at?)
She was here, now she gone again (Need her back)
Now it's me and all my whiskey friends
And I'm tired of it, tired of it
[Outro: Morgan Wallen]
And I'm tired of it, tired of itEmbed"
58,Houdini,Eminem,"['Pop', 'Pop Rap', 'Comedy', 'Midwest Rap', 'Hip-Hop', 'Detroit Rap', 'In English', 'USA', 'Rap']","475 ContributorsTranslationsРусскийDeutschNorsk (bokmål / riksmål)EspañolTürkçePolskiRomână한국어PortuguêsFrançaisУкраїнськаहिन्दीHoudini Lyrics[Skit: Paul Rosenberg]
Hey, Em, it's Paul
Uh, I was listening to the album
Good fucking luck, you're on your own

[Intro: Eminem]
Guess who's back, back again?
Shady's back, tell a friend
Guess who's back, guess who's back
Guess who's back, guess who's back
Guess who's back, guess who's back
Guess who's back
(Da-da-da, da, da, da, da, da, da)
(Da-da-da, da, da, da, da)

[Verse 1: Eminem]
Well, look what the stork brung
(What?) Little baby devil with the forked tongue
And it's stickin' out, yeah, like a sore thumb
(Bleah) With a forehead that it grew horns from
Still a white jerk
Pullin' up in a Chrysler to the cypher with the vic's, percs and a Bud Light shirt
Lyrical technician, an electrician y'all light work
And I don't gotta play pretend, it's you I make believe
And you know I'm here to stay 'cause me
If I was to ever take a leave, It would be aspirin to break a feve
If I was to ask for Megan Thee Stallion if she would collab with me
Would I really have a shot at a feat? (Ha!)
I don't know, but I'm glad to be back, like
See Eminem LiveGet tickets as low as $139You might also like[Chorus: Eminem]
Abra-abracadabra
(And for my last trick) I'm 'bout to reach in my bag, bruh
Abra-abracadabra
(And for my last trick, poof) Just like that and I'm back, bruh

[Verse 2: Eminem]
Now back in the days of old me
(When) Right around the time I became a dope fiend
Ate some codeine, as a way of coping taste of opiates, case of O.E
​Turned me into smiley face emoji
My shit may not be age appropri—
Ate but I will hit an eight year old in the face with a participation trophy
'Cause I have zero doubts
That this whole world's 'bout to turn into some girl scouts
That censorship bureau's out
To shut me down so when I started this verse
It did start off light-hearted at first
But it feels like I'm targeted
Mind bogglin' how my profit has skyrocketed, look what I pocketed
Yeah, the shit is just like y'all have been light joggin' and I've been running at full speed
And that's why I'm ahead like my noggin, and I'm the fight y'all get in
When you debate who the best but ops I'm white-chalkin' when
I step up to that mic, cock it then
""Oh my god, it's him... not again!""
[Chorus: Eminem]
Abra-abracadabra
(And for my last trick) I'm 'bout to reach in my bag, bruh
Abra-abracadabra
(And for my last trick, poof) Just like that and I'm back, bruh

[Bridge: Eminem]
Sometimes I wonder what the old me'd say
(If what?) If he could see the way shit is today
(Look at this shit, man) He'd probably say that everything is gay
(Like happy!) What's my name, what's my name?

[Verse 3: Eminem]
So, how many little kids still wanna act like me?
I'm a bigger prick than cacti be
And that's why these words sting, just like you were being attacked by bees
In the coupe leaning back my seat
Bumpin' R. Kelly's favorite group, the black guy pee's
In my Air Max 90's
White T's walkin' parental advisory
My transgender cat's Siamese
Identifies as black, but acts Chinese
Like a motherfuckin' hacky sack I treat the whole world, 'cause I got it at my feet
How can I explain to you?
That even myself, I'm a danger too
I hop on tracks like a kangaroo
And say a few things or two to anger you
But fuck that, if I think that shit, I'ma say that shit
Cancel me what? Okay, that's it, go ahead, Paul, quit
Snake-ass prick, you male crossdresser, fake-ass bitch
And I'll probably get shit for that
(Watch) But you can all suck my dick, in fact
Fuck them, fuck Dre, fuck Jimmy, fuck me, fuck you, fuck my own kids they're brats (Fuck 'em)
They can screw-off, them and you all
You too, Paul, got two balls, big as RuPaul's, what you thought you saw ain't what you saw
'Cause you're never gon' see me
Caught sleepin' and see the kidnappin' never did happen
Like Sherri Papini, Harry Houdini, I vanish into the thin air as I'm leaving, like
[Chorus: Eminem]
Abra-abracadabra
(And for my last trick) I'm 'bout to reach in my bag, bruh
Abra-abracadabra
(And for my last trick, poof) Just like that and I'm back, bruh142Embed"
59,Guess,Charli xcx Featuring Billie Eilish,"['Türkçe Çeviri', 'Pop']","2 ContributorsTranslationsEnglishEspañolFrançaisDeutschPortuguêsРусский日本語PolskiItalianoΕλληνικάCharli xcx - Guess featuring Billie Eilish (Türkçe Çeviri) Lyrics[""Guess featuring Billie Eilish"" için Türkçe şarkı sözleri]

[Giriş: Charli xcx]
Hey, Billie, orada mısın?
Uh-uh

[Bölüm 1: Charli xcx]
İç çamaşırımın rengini tahmin etmek ister misin
Aşağıda neler döndürüyorum bilmek ister misin
Pembe renginde güzel mi yoksa transparan mı?
Yeni alt sırt dövmemi gösteriyor mu?
Ağzına tıkmak, güneye doğru çekmek istiyorsun
Olayı başlatmak istiyorsun, işte bundan bahsediyorum
A-a-a-ağzına tıkmak, güneye doğru çekmek istiyorsun
Olayı başlatmak istiyorsun, işte bundan bahsediyorum (Evet)

[Nakarat: Charli xcx]
Dene, ısır, yala, tükür
Yana çek ve içine gömül
Giy onları, gönder bunları, remiksini yapabilirim
Onları The Dare'e gönderdim, evet, tahmin ediyorum buna tamam gibi
Dene, ısır, yala, tükür
Yana çek ve içine gömül
Giy onları, gönder bunları, remiksini yapabilirim
Yemek niyetine ye, evet, lezizo
(Sorunlarımızı çözelim)
You might also like[Bölüm 2: Billie Eilish]
İç çamaşırının rengini tahmin etmeme gerek yok
Aşağıda neler döndürüyorsun zaten biliyorum
Küçük fiyonklu siyah dantelli olan çift
Tokyo'da senin için seçtiklerim
Oturduğunda onları gördüm, dışarı bakıyorlardı
Şimdi sana diyeceğim, düşündüğüm tek şey onlar

[Nakarat: Billie Eilish]
Dene, ısır, yala, tükür
Yana çek ve içine gömül
Öp, ısır, onları bir deneyebilir miyim?
Charli erkeklerden hoşlanıyor, ama çakacağımı biliyor
(Çakacağımı biliyor)
Charli, buna tamamsan ara beni

[Köprü: Charli xcx, Billie Eilish, Charli xcx & Billie Eilish]
Evet, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et
Tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et
Tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et
Tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et, tahmin et

[Çıkış: Charli xcx, Billie Eilish, Charli xcx & Billie Eilish]
Billie ile ne hakkında mesajlaştığımızı bilmek ister misin? (Saygısızca davrandın)
Hâlâ Google Drive'ımın şifresini tahmin etmeye çalışıyorsun (Bana takıntılı mısın?)
Bulunduğumuz partinin adresini tahmin etmek ister misin (Gerçekten davetli değilsin)
Bu şarkı hakkında ciddi olup olmadığımızı bilmek ister misinEmbed"
60,Lonely Road,mgk & Jelly Roll,"['Country Pop', 'Country', 'Country Rock', 'In English', 'USA']","16 ContributorsLonely Road Lyrics[Intro: mgk]
Lonely road
Take me home
Take me home
Lonely road

[Verse 1: mgk]
I'ma go downtown
Ain't been in a long time
I'm takin' back Sundays
Since you took away my life (Since you took away my life)
There's some things that I know now (Mm)
Couple songs that I'd rewrite (Yeah)
Start over like Mondays
Pourin' strong on a weeknight (Mm)

[Pre-Chorus: mgk]
See, I hear the devil wears Prada, but I couldn't read the tags
And your horns started showin' when I seen you mad
But I'll wait for you 'cause this is not the face I knew
I probably could've saved us, but instead, I let us crash
'Cause I don't trust no one to love me back, but shе say, ""I do""
And this is not the place for you

[Chorus: mgk & The Castellows]
Lonely road, takе me home
To the place that we went wrong
Where'd you go now?
It's been a ghost town
And I'm still here all alone
You might also like[Verse 2: Jelly Roll & mgk]
When the days feel long and the nights get cold
And I'm thousands of miles away (Ah-ah-ah)
I use alcohol just to fill that hole
Will our home ever be the same?

[Pre-Chorus: Jelly Roll]
I hear the devil wears Prada, but I couldn't read the tags
And your horn started showin' when I see you mad
But I'll wait for you 'cause this is not the face I knew
And I probably could've saved us, but instead, I let us crash
'Cause I don't trust no one to love me back, but you say, ""I do""
And this is not the place for you

[Chorus: Jelly Roll & The Castellows]
Lonely road, take me home
To the place that we went wrong
Where'd you go now?
It's been a ghost town
And I'm still here all alone

[Bridge: mgk, mgk & Lily Balkcom, Jelly Roll]
And if you could salvage my soul
Would you sacrifice this life to not die alone?
'Cause even a palace ain't home without you
So I might leave here soon, but I wanna leave you this song
(Hey)
[Chorus: mgk & The Castellows, Jelly Roll]
Lonely road (Lonely road)
Take me home (Won't you take me home?)
To the place (To the place) that we went wrong
Where'd you go now? (Where'd you go now?)
It's been a ghost town
And I'm still here (I'm still here) all alone

[Outro: mgk & Jelly Roll]
(This lonely road) Yeah, I'm on this road now
(This lonely road) Feeling so alone
Take me home
(This lonely road) Mm, I'm on this road now
(This lonely road) Feeling so alone
Take me home, mm4Embed"
61,Guy For That,Post Malone Featuring Luke Combs,"['Duet', 'USA', 'In English', 'Country Pop', 'Pop', 'Country']","31 ContributorsTranslationsPolskiPortuguêsDeutschEspañolGuy For That Lyrics[Verse 1: Post Malone]
I got a guy designin' my rifle
My mama's new boyfriend re-binds bibles
Ricky down the road, he resoles Red Wings
Hell, I got a guy for every damn thing
Oh, that ain't exactly what I'm lookin' for
'Cause I'm lookin' for

[Chorus: Post Malone]
Someone to put her tires back in the drive
And if they don't, then I just might
Lose what's left of my never-lovin' mind
I'm damn near down to my last dime
I'm pretty good at breakin' down a heart
But pickin' up the pieces is the hard part
She's searchin' for someone who's gonna build it back
But I ain't got a guy for that

[Post-Chorus: Post Malone]
Ain't got a guy for that, ain't got a guy for that
Ain't got a guy for that

[Verse 2: Luke Combs]
Know a VIP up at MIT
And he still won't lеt me fly the time machinе
Someone to turn back the hands on my new AP
But, buddy, what I really need
See Post Malone LiveGet tickets as low as $50You might also like[Chorus: Luke Combs]
Is someone to put her tires back in the drive
And if they don't, then I just might
Lose what's left of my never-lovin' mind
I'm damn near down to my last dime
I'm pretty good at breakin' down a heart
But picking up the pieces is the hard part
She's searchin' for someone who's gonna build it back
But I ain't got a guy for that

[Post-Chorus: Luke Combs & Post Malone, Post Malone & Luke Combs]
Ain't got a guy for that, ain't got a guy for that (Guy for that)
Ain't got a guy, I ain't got a guy for that
Ain't got a guy for that, ain't got a guy for that
Ain't got a guy, I ain't got a guy for that4Embed"
62,Nights Like This,The Kid LAROI,"['Chillout', 'Neo-Psychedelia', 'In English', 'Australia', 'Pop']","65 ContributorsTranslationsDeutschTürkçeEspañolNIGHTS LIKE THIS Lyrics[Verse]
Hold my hand until we turn to ashes
Love me 'til they put me in my casket
I got all these feelings that I'm maskin'
Can I lay it on you? That's what I'm askin'
Red wine kissing in the house that your parents
Got for you, rented, how'd you forget it?
I think about you and nothin' else
So if you would just come over, I could show you for myself

[Chorus]
And it's nights like this when I need your love
When I need someone that'll heal my soul
It's nights like this
Nights like, nights like this, ooh, ooh

[Bridge]
Nights like this
Ooh, ooh

[Chorus]
And it's nights like this when I need your love
When I need someone that'll heal my soul
It's nights like this
Nights like, nights likе this, ooh, oohSee The Kid LAROI LiveGet tickets as low as $51You might also like8Embed"
